rank	human_gene_symbol	composite_score	score_mouse_csf	score_human_csf	score_ev	score_brain	score_autophagy	penalties	n_mouse_csf_datasets	mouse_csf_best_tier	d11_tier	d12_validated	d10_detected	d6_brain_detected	d9_isf_detected	ev_present	in_r1	r1_category	r1_tier	is_ambiguous_group	orthology_ambiguous	likely_plasma_derived	feasibility_tier	n_conserved_proteotypic	n_proteotypic_human	n_proteotypic_mouse	module_id	is_hub	module_connectivity	inclusion_count
15	PPT1	0.900918	0.747647	1.0	0.640065	1.0	1.0	0.0	6	A	A	True	False	True	False	True	True	PPT; CLN1; INCL	lysosomal	False	False	False	I	6.0	39.0	50.0	541.0	False	0.3112539125763125	9
16	IDS	0.897637	0.876149	1.1	0.485993	1.0	0.8	0.0	7	A	A	True	True	True	False	True	True		default	False	False	False	I	11.0	44.0	45.0	951.0	False	0.4236644424839563	9
17	HEXA	0.89736	0.810285	1.1	0.647883	1.0	0.8	0.0	7	A	A	True	True	True	True	True	True		default	False	False	False	I	13.0	70.0	70.0	949.0	True	0.4942844098144024	9
18	PRDX5	0.894263	0.913469	1.0	0.908958	1.0	0.7	0.0	7	A	A	True	False	True	True	True	True	Candidate kinases required for basal Autophagy	upstream_regulators	False	False	False	II	0.0	37.0	0.0	360.0	False	0.0	9
19	CTSA	0.886602	0.859178	1.0	0.718078	1.0	0.8	0.0	7	A	A	True	False	True	True	True	True	GLB2, GSL, NGBE, PPCA, PPGB	default	False	False	False	II	1.0	55.0	63.0	949.0	False	0.3230361954133402	9
20	TPP1	0.885469	0.596207	1.1	0.564169	1.0	1.0	0.0	5	A	A	True	True	True	False	True	True	CLN2, GIG1, LPIC, SCAR7, TPP-1	lysosomal	False	False	False	I	2.0	33.0	39.0	949.0	False	0.4526055624879734	9
21	CSTB	0.882157	0.604264	1.0	0.810912	1.0	1.0	0.0	6	A	A	True	False	True	True	True	True	lysosomal cysteine protease inhibitor	lysosomal	False	False	False	II	0.0	15.0	19.0	474.0	False	0.0	9
22	LAMP2	0.874688	0.682337	1.1	0.741042	1.0	0.8	0.0	6	A	A	True	True	True	False	True	True		default	False	False	False	II	0.0	30.0	38.0	824.0	False	0.3596975092429405	9
23	CTSS	0.871815	0.967262	1.1	0.0	1.0	0.8	0.0	7	A	A	True	True	True	True	False	True	none	default	False	False	False	I	4.0	66.0	58.0	824.0	False	0.245214505432193	6
24	CTSF	0.871651	0.440871	1.1	0.814332	1.0	1.0	0.0	5	A	A	True	True	True	False	True	True	CATSF, CLN13	lysosomal	False	False	False	I	2.0	83.0	70.0	949.0	False	0.4720431099271409	8
25	CTSZ	0.869583	0.958333	1.1	0.0	1.0	0.8	0.0	7	A	A	True	True	True	True	False	True	CTSX	default	False	False	False	I	3.0	37.0	32.0	951.0	False	0.1492756180037398	6
26	GNS	0.867594	0.632198	1.1	0.79544	1.0	0.8	0.0	5	A	A	True	True	True	True	True	True		default	False	False	False	I	30.0	70.0	79.0	949.0	True	0.4893787850935454	9
27	LGMN	0.867183	0.953225	1.0	0.288762	1.0	0.8	0.0	7	A	A	True	False	True	False	True	True	AEP; LGMN1; PRSC1	default	False	False	False	I	8.0	48.0	48.0	949.0	False	0.3502165713504671	7
28	UBE2N	0.858691	0.605544	1.0	0.948046	1.0	0.85	0.0	6	A	A	True	False	True	True	True	True	Mitophagy core	mitophagy	False	False	False	I	32.0	32.0	32.0	971.0	False	0.0	7
29	RAB7A	0.858034	0.852658	1.0	0.948697	1.0	1.0	-0.1	7	A	A	True	False	True	True	True	True	Rab proteins involved in autophagosome formation	core_machinery	True	False	False	I	48.0	48.0	48.0	368.0	False	0.0	6
30	PCYOX1	0.85349	0.705163	1.1	0.471987	1.0	0.8	0.0	6	A	A	True	True	True	False	True	True		default	False	False	False	I	6.0	58.0	72.0	555.0	False	0.3071085334493778	6
31	VCP	0.851335	0.918272	0.7	0.992671	1.0	0.85	0.0	7	A	B	True	False	True	True	True	True	Mitophagy core	mitophagy	False	False	False	I	164.0	164.0	164.0	433.0	False	0.0	4
32	CTSH	0.848907	0.650872	1.1	0.561889	1.0	0.8	0.0	7	A	A	True	True	True	False	True	True	ACC4; ACC5; CPSB; ACC-4; ACC-5	default	False	False	False	I	2.0	45.0	49.0	840.0	False	0.0	4
33	PLBD2	0.847828	0.612874	1.1	0.646091	1.0	0.8	0.0	6	A	A	True	True	True	True	True	True	P76	default	False	False	False	I	6.0	55.0	49.0	951.0	False	0.4028071616695857	7
34	CTBS	0.845379	0.861517	1.1	0.0	1.0	0.8	0.0	7	A	A	True	True	True	True	False	True		default	False	False	False	I	3.0	50.0	50.0	949.0	False	0.4213021260035046	6
35	ASAH1	0.843701	0.593826	1.1	0.652443	1.0	0.8	0.0	5	A	A	True	True	True	False	True	True		default	False	False	False	I	6.0	60.0	64.0	824.0	False	0.4325516594669263	9
36	ARSB	0.842457	0.773477	1.0	0.490879	1.0	0.8	0.0	6	A	A	True	False	True	False	True	True	ASB; G4S; MPS6	default	False	False	False	I	8.0	73.0	55.0	841.0	False	0.0	9
37	MANBA	0.839403	0.611226	1.1	0.565961	1.0	0.8	0.0	5	A	A	True	True	True	False	True	True		default	False	False	False	I	2.0	99.0	122.0	951.0	False	0.4840846130430656	9
38	PRCP	0.836637	0.495017	1.1	0.828827	1.0	0.8	0.0	4	A	A	True	True	True	False	True	True	HUMPCP, PCP	default	False	False	False	II	1.0	47.0	47.0	658.0	False	0.0	7
39	RAB5C	0.836542	0.376786	1.0	0.923453	1.0	1.0	0.0	4	A	A	True	False	True	False	True	True	Rab proteins involved in autophagosome formation	core_machinery	False	False	False	I	30.0	39.0	39.0	817.0	False	0.0	6
40	SQSTM1	0.835813	0.482143	1.0	0.652769	1.0	1.0	0.0	4	A	A	True	False	True	False	True	True	Cargo receptors for Selective Autophagy	core_machinery	False	False	False	I	17.0	42.0	42.0	914.0	False	0.3879140732824189	6
41	RAB14	0.835467	0.615026	1.0	0.817101	1.0	0.8	0.0	6	A	A	True	False	True	False	True	True		default	False	False	False	I	35.0	35.0	35.0	860.0	False	0.0	6
42	FUCA1	0.832416	0.564909	1.1	0.611889	1.0	0.8	0.0	6	A	A	True	True	True	False	True	True		default	False	False	False	I	11.0	47.0	50.0	949.0	False	0.4273522524316211	7
43	CAPNS1	0.823532	0.573214	1.0	0.80228	1.0	0.8	0.0	5	A	A	True	False	True	False	True	True	Negative Regulator of Autophagy	default	False	False	False	I	15.0	31.0	32.0	299.0	False	0.3286475179057757	6
44	GLB1	0.817955	0.527976	1.0	0.859609	1.0	0.8	0.0	4	A	A	True	False	True	False	True	True		default	False	False	False	II	1.0	71.0	67.0	873.0	False	0.3444412980131621	6
45	SCPEP1	0.81678	0.340476	1.0	0.816612	1.0	1.0	0.0	4	A	A	True	False	True	False	True	True	Lysosomal hydrolases and accessory proteins	lysosomal	False	False	False	I	3.0	55.0	57.0	513.0	False	0.0	6
46	ITM2C	0.809543	0.360714	1.1	0.893648	1.0	0.8	0.0	3	A	A	True	True	True	False	True	True		default	False	False	False	I	15.0	36.0	39.0	934.0	False	0.3005192903705281	6
47	NAGA	0.808489	0.535714	1.1	0.445603	1.0	0.8	0.0	5	A	A	True	True	True	False	True	True		default	False	False	False	I	3.0	40.0	69.0	949.0	False	0.3401944839584745	3
48	ACP2	0.808255	0.605136	1.0	0.569707	1.0	0.8	0.0	5	A	A	True	False	True	False	True	True	LAP	default	False	False	False	I	22.0	63.0	52.0	951.0	False	0.3597090921653218	6
49	ATP6V1A	0.799284	0.524107	1.0	0.932573	1.0	0.7	0.0	4	A	A	True	False	True	True	True	True	mTOR regulators	upstream_regulators	False	False	False	I	72.0	104.0	104.0				4
50	RAB4B	0.798002	0.367906	1.0	0.560261	1.0	1.0	0.0	4	A	A	True	False	True	False	True	True	Rab proteins involved in autophagosome formation	core_machinery	False	False	False	I	38.0	42.0	42.0	951.0	False	0.3650141907096802	3
51	ATP6AP2	0.789818	0.608458	1.1	0.327036	1.0	0.7	0.0	5	A	A	True	True	True	False	True	True	mTOR regulators	upstream_regulators	False	False	False	I	18.0	43.0	41.0	532.0	False	0.4531005662448761	3
52	ATP6V1B2	0.788551	0.480655	1.0	0.933876	1.0	0.7	0.0	4	A	A	True	False	True	True	True	True	mTOR regulators	upstream_regulators	False	False	False	I	68.0	77.0	77.0				4
53	NAGLU	0.787876	0.428571	1.1	0.507329	1.0	0.8	0.0	3	A	A	True	True	True	False	True	True	NAG; CMT2V; MPS3B; UFHSD; MPS-IIIB	default	False	False	False	II	0.0	80.0	0.0	553.0	False	0.2419709000294184	3
54	GABARAPL2	0.78652	0.166667	1.1	0.648534	1.0	1.0	0.0	2	A	A	True	True	True	False	True	True	ATG8 Ubiquitin-like conjugation systems	core_machinery	False	False	False	I	36.0	36.0	36.0	951.0	False	0.3002626157771485	3
55	CAPN2	0.783028	0.464881	1.0	0.668078	1.0	0.8	0.0	5	A	A	False	False	True	False	True	True	Negative Regulator of Autophagy	default	False	False	False	I	51.0	109.0	111.0	569.0	False	0.3991865683465316	3
56	RAB1A	0.780253	0.700491	1.0	0.551303	1.0	1.0	-0.1	7	A	A	False	False	True	True	True	True	Rab proteins involved in autophagosome formation	core_machinery	True	False	False	I	47.0	47.0	47.0	861.0	False	0.0	1
57	PKM	0.779544	1.0	1.1	0.99544	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.475760795353932	9
58	CHGB	0.778876	1.0	1.1	0.988762	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False								9
59	LDHB	0.778713	1.0	1.1	0.987134	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.4724937870827639	9
60	CLU	0.778697	1.0	1.1	0.986971	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False								9
61	PPIA	0.77867	0.997024	1.1	0.994137	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					481.0	False	0.4433927280328997	9
62	YWHAZ	0.77855	1.0	1.1	0.985505	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					481.0	False	0.485818229113089	9
63	B2M	0.776606	0.990725	1.1	0.989251	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					151.0	False	0.3836058890074636	9
64	YWHAE	0.776417	0.993355	1.1	0.980782	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					475.0	False	0.3276881573961547	9
65	HSP90B1	0.776146	0.989535	1.1	0.987622	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					576.0	False	0.0	9
66	MDH1	0.77481	0.997024	1.1	0.955537	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.4725826521709011	9
67	NCAM1	0.774007	1.0	1.1	0.940065	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					909.0	False	0.3718429651892713	6
68	SMPD1	0.773331	0.54492	1.0	0.37101	1.0	0.8	0.0	5	A	A	True	False	True	False	True	True		default	False	False	False	I	12.0	57.0	59.0	951.0	False	0.3944007494077448	3
69	MAN2B2	0.773031	0.668605	1.0	0.058795	1.0	0.8	0.0	6	A	A	True	False	True	False	True	True		default	False	False	False	I	8.0	96.0	108.0	949.0	False	0.3491844996734468	1
70	THY1	0.771943	0.997024	1.1	0.926873	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					914.0	False	0.3534870217029318	9
71	CHGA	0.771783	0.967262	1.1	0.999674	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.4268956240466252	8
72	NUCB1	0.770749	0.986905	1.1	0.940228	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					949.0	False	0.3943601741702462	8
73	LGALS3BP	0.770179	0.960714	1.1	1.0	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					824.0	True	0.5315604293720098	7
74	CNTN1	0.770147	1.0	1.1	0.901466	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	True	0.5773515246717162	9
75	PAM	0.769603	0.994048	1.1	0.910912	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	True	0.5095071236217066	9
76	LRP1	0.769235	0.966321	1.1	0.976547	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	True	0.5276028991876485	2
77	UBE2L3	0.768877	0.702512	1.0	0.807492	1.0	0.85	-0.1	7	A	A	True	False	True	False	True	True	Mitophagy core	mitophagy	False	True	False	I	33.0	33.0	33.0	686.0	False	0.0	2
78	NRCAM	0.768208	0.991071	1.1	0.904397	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	True	0.5666055412332138	8
79	PRDX2	0.767953	0.990379	1.1	0.903583	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					899.0	False	0.3266983281041117	8
80	CLSTN1	0.767219	0.988095	1.1	0.901954	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					211.0	False	0.0	8
81	CPE	0.767121	0.979167	1.1	0.92329	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	True	0.518558473652305	7
82	PSAP	0.766982	0.985714	1.1	0.905537	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.3240279266677138	8
83	TGM2	0.766796	0.65598	1.0	0.278013	1.0	0.7	0.0	6	A	A	True	False	True	False	True	True	Positive regulator of Autophagy	upstream_regulators	False	False	False	I	12.0	102.0	105.0	447.0	False	0.0	3
84	SOD1	0.766743	1.0	1.1	0.867427	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					824.0	False	0.5176279243998408	7
85	LSAMP	0.76621	0.997024	1.1	0.869544	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.463788802198223	7
86	QSOX1	0.765577	0.971429	1.1	0.927199	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					824.0	False	0.503660422647914	2
87	VIM	0.765522	0.968605	1.1	0.933713	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					481.0	False	0.3251331589211463	6
88	SERPINF2	0.765326	1.0	1.1	0.853257	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					99.0	False	0.5423732009155761	1
89	PLTP	0.764951	0.986905	1.1	0.882248	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.2852677408772165	7
90	IGFBP2	0.763694	0.947024	1.1	0.969381	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					299.0	False	0.4801525277886634	2
91	VTN	0.762786	0.978571	1.1	0.881433	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					99.0	False	0.4958577819895054	5
92	GALC	0.762224	0.228571	1.1	0.750814	1.0	0.8	0.0	3	A	A	True	True	True	False	True	True		default	False	False	False	I	7.0	74.0	60.0	874.0	False	0.0	1
93	IDUA	0.760825	0.376786	1.0	0.666287	1.0	0.8	0.0	3	A	A	True	False	True	False	True	True	IDA; MPS1	default	False	False	False	II	1.0	76.0	49.0	951.0	False	0.2904185598193127	1
94	NEU1	0.760427	0.309524	1.1	0.530456	1.0	0.8	0.0	3	A	A	True	True	True	False	True	True		default	False	False	False	I	12.0	46.0	55.0	949.0	False	0.4246482610901462	1
95	GOT1	0.759007	1.0	1.1	0.790065	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					824.0	True	0.5234116134369127	3
96	P4HB	0.758525	0.954817	1.1	0.898208	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					73.0	False	0.3151198351695758	1
97	APP	0.758453	1.0	1.1	0.784528	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	True	0.5138492726076974	3
98	BASP1	0.758027	0.942857	1.1	0.923127	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					914.0	False	0.3739270814625655	5
99	MDH2	0.757982	0.916944	1.1	0.987459	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					938.0	False	0.3207174956184109	4
100	GLA	0.757788	0.316168	1.0	0.787459	1.0	0.8	0.0	4	A	A	True	False	True	False	True	True		default	False	False	False	II	0.0	34.0	50.0	652.0	False	0.3220547030548968	0
101	TXN	0.757096	0.934247	1.1	0.935342	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					755.0	False	0.427317460717578	6
102	HSPG2	0.755642	0.945238	1.1	0.893322	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.284860306517438	1
103	GANAB	0.754979	0.950014	1.1	0.874756	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.3831412394308105	1
104	ANXA5	0.754729	0.939895	1.1	0.897557	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					849.0	False	0.0	4
105	CALR	0.753997	0.971429	1.1	0.811401	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.3752372136295197	3
106	LGALS1	0.753692	0.901412	1.1	0.983388	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					299.0	False	0.3349110241173778	5
107	ESD	0.752293	0.899336	1.1	0.974593	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					636.0	False	0.0	1
108	PDIA3	0.751695	0.910299	1.1	0.941205	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					911.0	False	0.3145365990062423	4
109	SCG3	0.751441	0.967262	1.1	0.796254	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.4201346109636873	3
110	PTGDS	0.751221	0.991071	1.1	0.734528	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False								3
111	GC	0.750554	1.0	1.1	0.705537	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					99.0	False	0.5856884762211478	1
112	GALNS	0.750466	0.441667	1.0	0.400489	1.0	0.8	0.0	4	A	A	True	False	True	False	True	True		default	False	False	False	I	12.0	46.0	49.0	951.0	False	0.3516965535242244	2
113	NPEPPS	0.750425	0.906326	1.1	0.938436	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.3498430721954747	3
114	ARL8B	0.750074	0.400298	1.0	0.0	1.0	1.0	0.0	3	A	A	True	False	True	False	False	True	recruitment HOPS on lysosome	lysosomal	False	False	False	I	44.0	44.0	44.0	888.0	False	0.347877158108184	3
115	DKK3	0.74983	0.985119	1.1	0.735505	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					299.0	False	0.4003041185225988	3
116	TALDO1	0.749801	0.896013	1.1	0.95798	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					475.0	False	0.3524304690683279	0
117	TPI1	0.7493	1.0	1.0	0.992997	1.0	0.0	0.0	7	A	A	True	False	True	True	True	False			False	False	False					951.0	False	0.4130031934148472	3
118	AGRN	0.748982	0.883486	1.1	0.981107	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.4522755546759902	0
119	STX7	0.748253	0.340179	1.0	0.632085	1.0	0.8	0.0	3	A	A	True	False	True	False	True	True		default	False	False	False	I	30.0	46.0	53.0	911.0	False	0.3358758891796441	0
120	CAPN1	0.748025	0.285714	1.0	0.765961	1.0	0.8	0.0	2	A	A	True	False	True	False	True	True	Negative Regulator of Autophagy	default	False	False	False	I	31.0	142.0	157.0	428.0	False	0.0	0
121	GSN	0.74798	1.0	1.0	0.979805	1.0	0.0	0.0	7	A	A	True	False	True	True	True	False			False	False	False					907.0	False	0.3101042157338796	2
122	FAM3C	0.74663	0.96131	1.1	0.763029	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.4982744186231276	3
123	GDI2	0.74503	0.885396	1.1	0.936808	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					481.0	False	0.3385588386883789	0
124	AHSG	0.743341	0.857143	1.1	0.990554	1.0	0.0	0.0	6	A	A	True	True	True	True	True	False			False	False	False					99.0	False	0.551098934551038	1
125	ARHGDIA	0.742981	0.993355	1.0	0.946417	1.0	0.0	0.0	7	A	A	True	False	True	True	True	False			False	False	False					481.0	False	0.3136834172258922	1
126	YWHAQ	0.7422	0.975249	1.0	0.983876	1.0	0.0	0.0	7	A	A	True	False	True	True	True	False			False	False	False					489.0	False	0.0	2
127	NCAM2	0.739788	0.88026	1.1	0.897231	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	True	0.513983021198225	0
128	SERPINF1	0.739209	0.854167	1.1	0.956678	1.0	0.0	0.0	6	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.2585334957530767	0
129	OGN	0.738473	0.918452	1.1	0.788599	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					949.0	False	0.3402027881158412	0
130	NPTN	0.737945	0.888718	1.1	0.857655	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					884.0	False	0.0	0
131	LAMC1	0.737581	0.833583	1.1	0.991857	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					949.0	False	0.3776763138168753	0
132	MST1	0.737342	0.565656	1.1	0.659283	0.0	0.8	0.0	5	A	A	True	True	False	False	True	True	Negative Regulator of Autophagy	default	False	False	False	I	11.0	112.0	109.0	99.0	False	0.3208753716211505	0
133	ALCAM	0.736977	0.846539	1.1	0.95342	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	True	0.5279868400816593	0
134	TKT	0.736651	0.966279	1.0	0.950814	1.0	0.0	0.0	7	A	A	True	False	True	True	True	False			False	False	False					126.0	False	0.0	0
135	LUM	0.73617	0.847024	1.1	0.944137	1.0	0.0	0.0	6	A	A	True	True	True	True	True	False			False	False	False					98.0	False	0.4444427932030206	0
136	MFGE8	0.73574	0.824654	1.1	0.995765	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.3813374353393947	0
137	ATP1B1	0.73564	0.836047	1.1	0.966287	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.3327182051590449	0
138	GAS6	0.735313	0.935714	1.1	0.713844	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.3980679601435626	0
139	PRKCSH	0.734877	0.902506	1.1	0.792508	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					951.0	False	0.4719445345275297	0
140	CADM4	0.733846	0.944048	1.1	0.678339	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.4126413721753038	2
141	NCSTN	0.733777	0.208333	1.0	0.816938	1.0	0.8	0.0	2	A	A	True	False	True	False	True	True	ATAG1874	default	False	False	False	I	11.0	65.0	70.0	951.0	False	0.3895425762477762	0
142	COCH	0.733721	0.890975	1.1	0.809772	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					949.0	False	0.382197186902407	0
143	ATP6V1H	0.733588	0.297024	1.0	0.843322	1.0	0.7	0.0	3	A	A	True	False	True	True	True	True	mTOR regulators	upstream_regulators	False	False	False	I	83.0	94.0	95.0	557.0	False	0.0	0
144	NEO1	0.733522	0.94881	1.1	0.663192	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	True	0.5697624370111569	0
145	SEZ6L2	0.733118	0.958333	1.1	0.635342	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	False	0.4787084442062251	2
146	TIMP2	0.731583	0.839881	1.1	0.916124	1.0	0.0	0.0	7	A	A	True	True	True	False	True	False			False	False	False					14.0	False	0.4210260936220809	0
147	PCSK1N	0.730809	0.989881	1.1	0.533388	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	True	0.5209893119957812	2
148	SCG2	0.730758	0.97619	1.1	0.567101	1.0	0.0	0.0	7	A	A	True	True	True	True	True	False			False	False	False					951.0	True	0.5386916655916235	2
