file,column,type,description
core_panel_shortlist.tsv,r1_functional_category,str,"Same as r1_category. Full functional description from R1 Full list sheet."
core_panel_shortlist.tsv,r1_scoring_tier,str,"Simplified category used for scoring weight modifiers. One of: core_machinery (1.0), lysosomal (1.0), mitophagy (0.85), docking (0.85), upstream_regulators (0.70), default (0.80)."
core_panel_shortlist.tsv,secretory_autophagy_cargo,bool,"True if the protein is one of 11 known secretory autophagy cargoes (SEC22B, TRIM16, IL1B, IL18, IL33, HMGB1, ANXA1, ANXA2, FTH1, FTL, GSDMD). Annotation only, not used in selection. All False in current shortlist because none of these 11 passed all four core criteria."
core_panel_shortlist.tsv,feasibility_tier,str,"Peptide feasibility tier (I/II/III). Informational for mass-spec assay development only. See candidates_ranked.tsv."
core_panel_shortlist.tsv,n_conserved_proteotypic,int,"Number of conserved proteotypic peptides (human-mouse). See candidates_ranked.tsv."
core_panel_shortlist.tsv,inclusion_count,int,"Robustness metric (0–9): number of the 9 sensitivity configurations in which this protein ranks in the top 80. See candidates_ranked.tsv."
# ──────────────────────────────────────────────────────────────────────
# sensitivity_analysis_summary.tsv — Re-scoring results across 9 parameter configurations
# Tests robustness of rankings to parameter choices
# ──────────────────────────────────────────────────────────────────────
sensitivity_analysis_summary.tsv,tier_option,str,"Detectability tier stringency used for this configuration. A = tier A only; AB = tiers A and B; ABC = tiers A, B, and C."
sensitivity_analysis_summary.tsv,weight_set,str,"Evidence score weight set. default = mouse_csf:0.25 human_csf:0.30 ev:0.05 brain:0.10 autophagy:0.25; equal = all components ~0.19; csf_heavy = mouse_csf:0.30 human_csf:0.40 ev:0.05 brain:0.05 autophagy:0.15."
sensitivity_analysis_summary.tsv,human_gene_symbol,str,"Human gene symbol."
sensitivity_analysis_summary.tsv,rank,int,"Rank of this protein under this parameter configuration (0 = highest)."
sensitivity_analysis_summary.tsv,score,float,"Composite evidence score under this parameter configuration."
# ──────────────────────────────────────────────────────────────────────
# module_validation_summary.tsv — Co-abundance module enrichment for R1 autophagy genes
# Hierarchical clustering of D11 (2323 proteins with >=30% completeness)
# ──────────────────────────────────────────────────────────────────────
module_validation_summary.tsv,module_id,int,"Module identifier from hierarchical clustering. Only modules with >=20 proteins are reported."
module_validation_summary.tsv,n_genes,int,"Number of proteins assigned to this module."
module_validation_summary.tsv,n_r1,int,"Number of R1 autophagy/lysosome genes in this module."
module_validation_summary.tsv,expected_r1,float,"Expected number of R1 genes under random assignment (based on overall R1 proportion in the analysed proteome)."
module_validation_summary.tsv,fold_enrichment,float,"Fold enrichment of R1 genes in this module (n_r1 / expected_r1)."
module_validation_summary.tsv,pvalue,float,"Fisher's exact test p-value for R1 enrichment."
module_validation_summary.tsv,pvalue_adj,float,"Benjamini-Hochberg adjusted p-value (FDR). Modules with pvalue_adj < 0.05 are considered significantly enriched."
# ──────────────────────────────────────────────────────────────────────
# overview_matrix_filled.xlsx — R2 HPA antibody panel comparison
# ──────────────────────────────────────────────────────────────────────
overview_matrix_filled.xlsx,(sheet),xlsx,"Excel workbook showing the 98 R2 HPA antibody targets with detection status filled in across datasets from the pipeline results. Used for benchmarking overlap between the new panel and the existing targeted assay."
# ──────────────────────────────────────────────────────────────────────
# figures/ — Publication-ready PDF figures
# ──────────────────────────────────────────────────────────────────────
figures/score_distribution.pdf,(figure),PDF,"Histogram of composite evidence scores. Overlapping distributions for R1 autophagy proteins vs all other proteins."
figures/comparison_venn.pdf,(figure),PDF,"Three-way Venn diagram comparing the new 80-protein shortlist vs R2 HPA antibody targets vs previous 329-protein EV-autophagy intersection."
figures/null_distribution.pdf,(figure),PDF,"Null simulation results (1000 iterations). Histogram of expected convergence counts from random gene sets, with observed count marked. Tests whether autophagy gene convergence across species exceeds chance."
figures/sensitivity_stability.pdf,(figure),PDF,"Rank stability plot showing how top candidate rankings change across 9 parameter configurations (3 tier stringencies x 3 weight sets)."
figures/module_enrichment.pdf,(figure),PDF,"Co-abundance module enrichment plot showing fold enrichment and FDR for R1 autophagy genes across D11-derived modules."
